task_index,round_index,step_index,from_agent,to_agent,content_length,content_tokens
0,0,0,user,Analyst,17,25
0,0,1,Analyst,Summarizer,1169,1507
0,0,2,Summarizer,Reviewer,581,684
0,1,0,user,Analyst,1117,1443
0,1,1,Analyst,Summarizer,885,1146
0,1,2,Summarizer,Reviewer,512,639
1,0,0,user,Analyst,27,23
1,0,1,Analyst,Summarizer,1036,1132
1,0,2,Summarizer,Reviewer,604,666
1,1,0,user,Analyst,1025,1123
1,1,1,Analyst,Summarizer,1390,1586
1,1,2,Summarizer,Reviewer,675,796
2,0,0,user,Analyst,19,19
2,0,1,Analyst,Summarizer,1052,1160
2,0,2,Summarizer,Reviewer,555,521
2,1,0,user,Analyst,936,962
2,1,1,Analyst,Summarizer,991,1286
2,1,2,Summarizer,Reviewer,181,251
